,algorithm,duration,nn,random_state,train_accuracy,test_accuracy,f1_train,f1_test,fitness_curve,sample_size,hidden_nodes,max_iters
68,random_hill_climb,0.039099931716918945,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8691709844559585,0.8633540372670807,0.0,0.0,100,772,[8],100
69,random_hill_climb,0.07951688766479492,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8691709844559585,0.8633540372670807,0.0,0.0,200,772,[8],200
70,random_hill_climb,0.11736106872558594,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8691709844559585,0.8633540372670807,0.0,0.0,300,772,[8],300
71,random_hill_climb,0.15493083000183105,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8691709844559585,0.8633540372670807,0.0,0.0,400,772,[8],400
72,random_hill_climb,0.042363882064819336,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8695652173913043,0.8633540372670807,0.0,0.0,100,966,[8],100
73,random_hill_climb,0.0869147777557373,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8695652173913043,0.8633540372670807,0.0,0.0,200,966,[8],200
74,random_hill_climb,0.12674570083618164,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8695652173913043,0.8633540372670807,0.0,0.0,300,966,[8],300
75,random_hill_climb,0.16780400276184082,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8695652173913043,0.8633540372670807,0.0,0.0,400,966,[8],400
76,random_hill_climb,0.05037212371826172,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8697152717860225,0.8633540372670807,0.0,0.0,100,1159,[8],100
77,random_hill_climb,0.10228490829467773,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8697152717860225,0.8633540372670807,0.0,0.0,200,1159,[8],200
78,random_hill_climb,0.14589381217956543,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8697152717860225,0.8633540372670807,0.0,0.0,300,1159,[8],300
79,random_hill_climb,0.19263529777526855,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8697152717860225,0.8633540372670807,0.0,0.0,400,1159,[8],400
80,random_hill_climb,0.05374479293823242,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8683431952662722,0.8633540372670807,0.0,0.0,100,1352,[8],100
81,random_hill_climb,0.11003899574279785,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8683431952662722,0.8633540372670807,0.0,0.0,200,1352,[8],200
82,random_hill_climb,0.16547703742980957,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8683431952662722,0.8633540372670807,0.0,0.0,300,1352,[8],300
83,random_hill_climb,0.2170732021331787,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8683431952662722,0.8633540372670807,0.0,0.0,400,1352,[8],400
84,random_hill_climb,0.057739973068237305,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8647249190938512,0.8633540372670807,0.0,0.0,100,1545,[8],100
85,random_hill_climb,0.1163032054901123,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8647249190938512,0.8633540372670807,0.0,0.0,200,1545,[8],200
86,random_hill_climb,0.17077183723449707,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8647249190938512,0.8633540372670807,0.0,0.0,300,1545,[8],300
87,random_hill_climb,0.24595117568969727,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8647249190938512,0.8633540372670807,0.0,0.0,400,1545,[8],400
88,random_hill_climb,0.06695818901062012,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8619102416570771,0.8633540372670807,0.0,0.0,100,1738,[8],100
89,random_hill_climb,0.1404268741607666,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8619102416570771,0.8633540372670807,0.0,0.0,200,1738,[8],200
90,random_hill_climb,0.1989130973815918,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8619102416570771,0.8633540372670807,0.0,0.0,300,1738,[8],300
91,random_hill_climb,0.25089406967163086,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8619102416570771,0.8633540372670807,0.0,0.0,400,1738,[8],400
92,random_hill_climb,0.06700491905212402,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",2,0.8643892339544513,0.8633540372670807,0.0,0.0,100,1932,[8],100
93,random_hill_climb,0.13442087173461914,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",2,0.8643892339544513,0.8633540372670807,0.0,0.0,200,1932,[8],200
94,random_hill_climb,0.20769524574279785,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",2,0.8643892339544513,0.8633540372670807,0.0,0.0,300,1932,[8],300
95,random_hill_climb,0.28203916549682617,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",2,0.8643892339544513,0.8633540372670807,0.0,0.0,400,1932,[8],400
96,random_hill_climb,0.03897380828857422,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",3,0.8860103626943006,0.8633540372670807,0.0,0.0,100,579,[8],100
97,random_hill_climb,0.07489681243896484,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",3,0.8860103626943006,0.8633540372670807,0.0,0.0,200,579,[8],200
98,random_hill_climb,0.10995888710021973,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",3,0.8860103626943006,0.8633540372670807,0.0,0.0,300,579,[8],300
99,random_hill_climb,0.13997793197631836,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",3,0.8860103626943006,0.8633540372670807,0.0,0.0,400,579,[8],400
100,random_hill_climb,0.030212879180908203,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",3,0.8782383419689119,0.8633540372670807,0.0,0.0,79,772,[8],100
101,random_hill_climb,0.03038501739501953,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",3,0.8782383419689119,0.8633540372670807,0.0,0.0,79,772,[8],200
102,random_hill_climb,0.030418872833251953,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",3,0.8782383419689119,0.8633540372670807,0.0,0.0,79,772,[8],300
103,random_hill_climb,0.030976057052612305,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",3,0.8782383419689119,0.8633540372670807,0.0,0.0,79,772,[8],400
104,random_hill_climb,0.03289222717285156,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",3,0.870600414078675,0.8633540372670807,0.0,0.0,79,966,[8],100
105,random_hill_climb,0.03288984298706055,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",3,0.870600414078675,0.8633540372670807,0.0,0.0,79,966,[8],200
106,random_hill_climb,0.03298211097717285,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",3,0.870600414078675,0.8633540372670807,0.0,0.0,79,966,[8],300
107,random_hill_climb,0.03342413902282715,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",3,0.870600414078675,0.8633540372670807,0.0,0.0,79,966,[8],400
108,random_hill_climb,0.05242490768432617,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",3,0.8662640207075065,0.8633540372670807,0.0,0.0,100,1159,[8],100
109,random_hill_climb,0.10850405693054199,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",3,0.8662640207075065,0.8633540372670807,0.0,0.0,200,1159,[8],200
110,random_hill_climb,0.1548621654510498,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",3,0.8662640207075065,0.8633540372670807,0.0,0.0,300,1159,[8],300
111,random_hill_climb,0.22668695449829102,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",3,0.8662640207075065,0.8633540372670807,0.0,0.0,400,1159,[8],400
112,random_hill_climb,0.05982613563537598,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",3,0.8668639053254438,0.8633540372670807,0.0,0.0,100,1352,[8],100
113,random_hill_climb,0.11434102058410645,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",3,0.8668639053254438,0.8633540372670807,0.0,0.0,200,1352,[8],200
114,random_hill_climb,0.19424724578857422,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",3,0.8668639053254438,0.8633540372670807,0.0,0.0,300,1352,[8],300
115,random_hill_climb,0.22860074043273926,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",3,0.8668639053254438,0.8633540372670807,0.0,0.0,400,1352,[8],400
116,random_hill_climb,0.058624982833862305,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",3,0.8653721682847897,0.8633540372670807,0.0,0.0,100,1545,[8],100
117,random_hill_climb,0.1175680160522461,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",3,0.8653721682847897,0.8633540372670807,0.0,0.0,200,1545,[8],200
118,random_hill_climb,0.18565082550048828,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",3,0.8653721682847897,0.8633540372670807,0.0,0.0,300,1545,[8],300
119,random_hill_climb,0.2493739128112793,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",3,0.8653721682847897,0.8633540372670807,0.0,0.0,400,1545,[8],400
120,random_hill_climb,0.048227787017822266,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",3,0.8659378596087457,0.8633540372670807,0.0,0.0,79,1738,[8],100
121,random_hill_climb,0.0491948127746582,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",3,0.8659378596087457,0.8633540372670807,0.0,0.0,79,1738,[8],200
122,random_hill_climb,0.055382728576660156,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",3,0.8659378596087457,0.8633540372670807,0.0,0.0,79,1738,[8],300
123,random_hill_climb,0.05000591278076172,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",3,0.8659378596087457,0.8633540372670807,0.0,0.0,79,1738,[8],400
124,random_hill_climb,0.05383896827697754,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",3,0.8643892339544513,0.8633540372670807,0.0,0.0,79,1932,[8],100
125,random_hill_climb,0.05331683158874512,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",3,0.8643892339544513,0.8633540372670807,0.0,0.0,79,1932,[8],200
126,random_hill_climb,0.0511012077331543,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",3,0.8643892339544513,0.8633540372670807,0.0,0.0,79,1932,[8],300
127,random_hill_climb,0.051483869552612305,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",3,0.8643892339544513,0.8633540372670807,0.0,0.0,79,1932,[8],400
128,random_hill_climb,0.04316306114196777,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",4,0.8635578583765112,0.8467908902691511,0.04819277108433735,0.0,100,579,[8],100
129,random_hill_climb,0.08362317085266113,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",4,0.8687392055267703,0.8633540372670807,0.0,0.0,200,579,[8],200
130,random_hill_climb,0.11885213851928711,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",4,0.8687392055267703,0.8633540372670807,0.0,0.0,300,579,[8],300
131,random_hill_climb,0.1435689926147461,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=400)",4,0.8687392055267703,0.8633540372670807,0.0,0.0,400,579,[8],400
132,random_hill_climb,0.041712284088134766,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8])",4,0.8588082901554405,0.8467908902691511,0.03539823008849558,0.0,100,772,[8],100
133,random_hill_climb,0.08142209053039551,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=200)",4,0.8652849740932642,0.8633540372670807,0.0,0.0,200,772,[8],200
134,random_hill_climb,0.11943912506103516,"NeuralNetwork(clip_max=5, early_stopping=True, hidden_nodes=[8], max_iters=300)",4,0.8652849740932642,0.8633540372670807,0.0,0.0,300,772,[8],300
